iter	Passed	Remaining
0	135	135455
1	136	68028
2	136	45506
3	137	34236
4	138	27477
5	138	22973
6	155	22068
7	156	19372
8	156	17275
9	157	15594
10	158	14218
11	158	13090
12	159	12120
13	160	11286
14	160	10568
15	161	9937
16	162	9376
17	162	8878
18	163	8443
19	165	8097
20	166	7749
21	167	7430
22	168	7145
23	169	6886
24	170	6637
25	170	6397
26	171	6175
27	171	5968
28	172	5775
29	173	5598
30	173	5433
31	174	5277
32	175	5128
33	175	4989
34	176	4857
35	176	4731
36	177	4615
37	177	4503
38	178	4397
39	179	4299
40	179	4204
41	180	4117
42	181	4032
43	181	3950
44	182	3871
45	183	3795
46	183	3722
47	184	3653
48	185	3592
49	185	3531
50	186	3475
51	187	3415
52	187	3359
53	188	3304
54	189	3252
55	189	3200
56	190	3151
57	191	3103
58	191	3060
59	192	3016
60	193	2976
61	193	2933
62	194	2893
63	195	2853
64	195	2814
65	196	2777
66	196	2740
67	197	2702
68	197	2668
69	198	2635
70	199	2605
71	199	2574
72	200	2547
73	201	2518
74	201	2490
75	202	2462
76	203	2439
77	204	2413
78	204	2386
79	205	2361
80	205	2336
81	206	2313
82	207	2289
83	208	2271
84	208	2246
85	209	2224
86	209	2201
87	210	2180
88	210	2159
89	211	2139
90	212	2124
91	213	2104
92	213	2086
93	214	2067
94	215	2049
95	215	2031
96	216	2015
97	217	1998
98	217	1981
99	218	1964
100	218	1948
101	219	1930
102	219	1914
103	220	1898
104	220	1883
105	221	1868
106	222	1855
107	222	1841
108	223	1826
109	224	1812
110	224	1798
111	225	1785
112	225	1772
113	226	1760
114	227	1747
115	227	1734
116	228	1721
117	228	1709
118	229	1697
119	229	1685
120	230	1674
121	231	1663
122	231	1650
123	232	1639
124	232	1628
125	233	1618
126	233	1607
127	234	1595
128	234	1585
129	235	1576
130	236	1566
131	236	1556
132	237	1547
133	237	1537
134	238	1528
135	239	1519
136	239	1511
137	240	1501
138	240	1492
139	241	1484
140	242	1475
141	242	1467
142	243	1458
143	244	1451
144	244	1443
145	245	1435
146	246	1427
147	246	1419
148	247	1411
149	247	1403
150	248	1396
151	249	1389
152	249	1382
153	250	1374
154	250	1367
155	251	1360
156	251	1353
157	253	1349
158	253	1343
159	254	1336
160	255	1329
161	255	1323
162	256	1316
163	257	1310
164	257	1304
165	258	1298
166	259	1292
167	259	1286
168	260	1280
169	260	1273
170	261	1267
171	262	1262
172	262	1256
173	263	1250
174	263	1244
175	264	1238
176	265	1233
177	265	1227
178	267	1225
179	267	1220
180	268	1213
181	268	1208
182	269	1203
183	270	1197
184	270	1193
185	271	1188
186	272	1183
187	272	1178
188	273	1173
189	273	1167
190	274	1162
191	275	1158
192	275	1153
193	276	1148
194	276	1143
195	277	1138
196	278	1134
197	278	1129
198	279	1126
199	280	1122
200	281	1117
201	281	1112
202	282	1108
203	282	1103
204	283	1099
205	284	1094
206	284	1090
207	285	1086
208	285	1082
209	286	1078
210	287	1073
211	287	1070
212	288	1065
213	289	1061
214	289	1057
215	290	1053
216	291	1051
217	292	1047
218	292	1043
219	293	1040
220	293	1036
221	294	1032
222	295	1028
223	295	1024
224	296	1020
225	296	1017
226	297	1013
227	298	1009
228	298	1006
229	299	1002
230	299	998
231	300	994
232	301	991
233	301	988
234	302	984
235	303	982
236	304	980
237	305	976
238	305	974
239	306	971
240	307	967
241	307	964
242	308	960
243	309	957
244	309	954
245	310	950
246	310	947
247	311	944
248	312	941
249	313	939
250	313	936
251	314	933
252	315	930
253	315	927
254	316	923
255	316	920
256	317	917
257	318	914
258	318	911
259	319	908
260	319	905
261	320	902
262	321	899
263	321	896
264	322	893
265	322	890
266	323	887
267	324	885
268	324	882
269	325	880
270	326	877
271	326	874
272	328	873
273	328	871
274	329	869
275	330	867
276	331	864
277	331	861
278	332	859
279	333	856
280	333	854
281	334	851
282	335	849
283	335	846
284	336	844
285	337	841
286	338	840
287	339	838
288	339	836
289	340	833
290	341	831
291	341	828
292	342	826
293	343	824
294	343	821
295	344	819
296	345	816
297	345	814
298	346	811
299	346	809
300	347	807
301	348	804
302	348	802
303	349	799
304	349	797
305	351	797
306	353	797
307	354	795
308	354	793
309	355	792
310	356	790
311	358	789
312	359	788
313	360	786
314	361	786
315	362	784
316	363	782
317	365	784
318	366	783
319	368	782
320	369	782
321	370	780
322	371	778
323	372	777
324	373	775
325	374	774
